codigo_onibus,distancia_percorrida,segundos_deslocamento,tecnologia,fase_conama,fator_consumo_l,fator_consumo_kg,consumo_l,consumo_kg,emissao_co2,emissao_mp,emissao_nox
45144,379681.6599418241,86196.0,Padron,P5,0.63,0.529,239.19944576334916,200.85159810922494,638.9017196339056,7.793042006637928,4.2142682315277575
45145,3210.608649456326,86194.0,Básico,P7,0.53,0.445,1.7016225842118529,1.4287208490080652,4.545033922429859,0.0007857964669544359,0.0939383958222803
45146,197641.8955277399,86253.0,Padron,P5,0.63,0.529,124.51439418247614,104.55256273417442,332.57794686139374,4.056639434085968,2.1937218712884476
45147,0.0,86228.0,Articulado (23m),P8,0.85,0.714,0.0,0.0,0.0,0.0,0.0
45148,0.0,86205.0,Articulado (23m),P8,0.85,0.714,0.0,0.0,0.0,0.0,0.0
45149,220142.81168469338,86216.0,Articulado (18m),P7,0.8,0.672,176.1142493477547,147.93596945211397,470.4011600078528,0.08136478319866268,9.726789991476494
45151,166201.158601595,45082.0,Biarticulado,P8,0.9,0.756,149.5810427414355,125.64807590280583,399.53096516237423,0.003266849973472951,0.13972066040392006
45152,209567.2287148301,59362.0,Biarticulado,P8,0.9,0.756,188.61050584334708,158.43282490841156,503.77866110758004,0.004119253447618701,0.17617730129815365
45159,94958.64972438922,41181.0,Miniônibus,P5,0.35,0.294,33.235527403536224,27.91784301897043,88.77209369484525,1.0832123091360528,0.5857721822240376
45162,225854.07079520964,86222.0,Biarticulado,P7,0.9,0.756,203.2686637156887,170.7456775211785,542.9306007846045,0.09391012263664818,11.226528297017486
45163,154546.9187190877,50602.0,Biarticulado,P7,0.9,0.756,139.09222684717892,116.8374705516303,371.5153379088149,0.06426060880339667,7.682063688769693
45165,162694.43105692108,86223.0,Básico,P5,0.53,0.445,86.22804846016817,72.39902182032988,230.31511743710917,2.8090820466287996,1.5190762758341616
45166,222315.92586685473,86210.0,Miniônibus,P5,0.35,0.294,77.81057405339915,65.36088220485529,207.8320432966291,2.536002229548385,1.3714020304222736
45171,147415.91967231428,32297.0,Articulado (23m),P7,0.85,0.714,125.30353172146714,105.2549666460324,334.6857332280387,0.05789023165531782,6.92051405697663
45172,162005.5574737679,52702.0,Articulado (23m),P5,0.85,0.714,137.70472385270273,115.67196803627029,367.80931741056895,4.488072359807287,2.427029233337023
45173,77379.6046104643,53702.0,Midiônibus,P5,0.47,0.395,36.36841416691822,30.5649438211334,97.14003423983856,1.1859198202599759,0.641313651255021
45174,0.0,79936.0,Articulado (18m),P5,0.8,0.672,0.0,0.0,0.0,0.0,0.0
45175,60823.142763083226,12532.0,Básico,P5,0.53,0.445,32.236265664434114,27.066298529572038,86.10306558970352,1.050172382947395,0.5679050757474805
45176,0.0,86197.0,Miniônibus,P7,0.35,0.294,0.0,0.0,0.0,0.0,0.0
45177,0.0,86190.0,Articulado (18m),P5,0.8,0.672,0.0,0.0,0.0,0.0,0.0
45178,0.0,86212.0,Midiônibus,P7,0.47,0.395,0.0,0.0,0.0,0.0,0.0
45179,275659.9105297795,86245.0,Padron,P5,0.63,0.529,173.66574363376108,145.82409267025335,463.8612012457758,5.65797479560583,3.059681112407256
45180,161221.69139182032,86217.0,Biarticulado,P5,0.9,0.756,145.09952225263828,121.88359869221615,387.5608239367968,4.729083629257987,2.5573616677600794
45187,0.0,86213.0,Biarticulado,P5,0.9,0.756,0.0,0.0,0.0,0.0,0.0
45188,120146.74059489543,44718.0,Biarticulado,P5,0.9,0.756,108.13206653540588,90.83093588974094,288.8207497160691,3.5242403125219486,1.9058146968385445
45189,49386.615478897846,15823.0,Padron,P5,0.63,0.529,31.11356775170564,26.12551958833696,83.10433946480576,1.013670160027474,0.5481656520024861
45192,190550.22238209864,46907.0,Miniônibus,P5,0.35,0.294,66.69257783373452,56.021765380336994,178.13587539390488,2.1736444967570754,1.175448681210231
45194,183982.82525718166,52435.0,Articulado (23m),P5,0.85,0.714,156.38540146860439,131.3637372336277,417.70540732264226,5.096913004664755,2.7562739346359764
45195,108642.79989757494,86240.0,Básico,P5,0.53,0.445,57.58068394571472,48.346045954420845,153.798006819004,1.8758265830315288,1.0143967362156583
45196,423989.04464800743,86224.0,Padron,P7,0.63,0.529,267.1130981282447,224.29020461879594,713.4590851005415,0.12335961254033777,14.747080953685833
45199,116525.50386987296,86187.0,Miniônibus,P7,0.35,0.294,40.78392635445554,34.25849813774265,108.93386729275073,0.018842173975758457,2.252496252556579
45200,132878.9607226281,52595.0,Padron,P5,0.63,0.529,83.7137452552557,70.29297022227027,223.59941357678795,2.7273672446240864,1.4748871012036748
45201,318948.4528219024,86227.0,Básico,P5,0.53,0.445,169.04267999560827,141.93206150574656,451.51299826826966,5.506963986422967,2.9780185145135745
45202,0.0,86241.0,Básico,P8,0.53,0.445,0.0,0.0,0.0,0.0,0.0
45204,135855.07790980116,86226.0,Articulado (18m),P5,0.8,0.672,108.68406232784093,91.29461235538639,290.2951304776631,3.5422309593889922,1.9155435564407173
45205,0.0,86210.0,Articulado (23m),P8,0.85,0.714,0.0,0.0,0.0,0.0,0.0
45206,158379.7018988931,86219.0,Biarticulado,P5,0.9,0.756,142.54173170900378,119.73505463556319,380.7289653947491,4.645720119859852,2.512280916363387
45207,0.0,86193.0,Articulado (18m),P8,0.8,0.672,0.0,0.0,0.0,0.0,0.0
45209,0.0,86216.0,Padron,P8,0.63,0.529,0.0,0.0,0.0,0.0,0.0
45215,6542.654183506713,1378.0,Articulado (23m),P8,0.85,0.714,5.561256055980706,4.6714550870237925,14.854114925524463,0.0001214578322626186,0.005194658056770457
45216,215232.06410008733,86195.0,Midiônibus,P5,0.47,0.395,101.15907012704105,85.01666531953451,270.1958763093266,3.298646614397939,1.7838196717344732
45220,192997.5633782857,60325.0,Biarticulado,P7,0.9,0.756,173.69780704045712,145.90615791398398,463.94684260506097,0.08024838685269119,9.593329882844447
45224,70465.5463644146,17894.0,Articulado (18m),P7,0.8,0.672,56.37243709153168,47.35284715688661,150.5707794714811,0.026044065936287636,3.113449700565295
45225,270830.69642060547,60325.0,Articulado (23m),P8,0.85,0.714,230.20609195751464,193.3731172443123,614.8804716185216,0.00502770104835212,0.21503090637567526
45226,92156.30803615013,24752.0,Básico,P7,0.53,0.445,48.84284325915957,41.009557076086814,130.4592343452152,0.022555256391847748,2.696378377752708
45227,50456.49323360094,14774.0,Midiônibus,P8,0.47,0.395,23.71455181979244,19.930314827272372,63.3415679106656,0.0005181881855090817,0.022162510087926877
45228,2875.4246823308804,3599.0,Básico,P8,0.53,0.445,1.5239750816353668,1.2795639836372419,4.070537443048065,3.326866357456829e-05,0.0014228751498046128
45233,183916.31889683503,59349.0,Biarticulado,P5,0.9,0.756,165.52468700715153,139.04073708600728,442.1164389961017,5.394780598937083,2.917352745538605
45238,177996.1274819173,86200.0,Básico,P8,0.53,0.445,94.33794756541617,79.20827672945319,251.97665794722658,0.002059415194965783,0.08807960372315193
45239,70358.3146558764,13768.0,Padron,P5,0.63,0.529,44.32573823320213,37.21954845295862,118.39404682088288,1.4441184799747946,0.7809405656399778
45240,60938.499234246454,22018.0,Midiônibus,P5,0.47,0.395,28.641094640095833,24.07070719752735,76.50036378369596,0.9339434392640613,0.5050515784185189
45241,170269.97822305313,31824.0,Padron,P8,0.63,0.529,107.27008628052347,90.0728184799951,286.5184004552782,0.0023418932804798727,0.10016097414975456
45242,200417.7278706192,49265.0,Biarticulado,P7,0.9,0.756,180.37595508355727,151.51580227018812,481.78417602818143,0.08333369124860347,9.962163999264869
45243,55716.3775807413,17544.0,Articulado (23m),P5,0.85,0.714,47.358920943630096,39.781493592649284,126.49567784043597,1.5435219513947922,0.8346952985609672
45244,165586.62589528176,86193.0,Articulado (18m),P5,0.8,0.672,132.46930071622543,111.27421260162936,353.82550221303813,4.317439448943219,2.334755528807387
45247,289981.4496180236,86227.0,Miniônibus,P8,0.35,0.294,101.49350736630825,85.25454618769894,271.0891581754093,0.0022166182008801724,0.09480305536072121
45249,163323.8150896912,49012.0,Articulado (18m),P8,0.8,0.672,130.65905207175297,109.7536037402725,348.9903280836522,0.002853593697247085,0.122046007359183
45250,261048.65445585255,58207.0,Padron,P5,0.63,0.529,164.4606523071871,138.094738207146,439.2744023124967,5.358075842437265,2.897503797062338
45251,219274.74627337116,86228.0,Básico,P5,0.53,0.445,116.21561552488673,97.57726209165017,310.41190906697244,3.7859977691560265,2.047366113207004
45254,218350.86914910813,74768.0,Miniônibus,P5,0.35,0.294,76.42280420218783,64.19515552983778,204.1253100240437,2.490772034557706,1.3469427533270564
45255,229163.2907833137,51212.0,Midiônibus,P8,0.47,0.395,107.70674666815745,90.51949985940892,287.68472035064855,0.002353506996344632,0.10065768384366272
45258,139824.5068896873,75470.0,Articulado (23m),P5,0.85,0.714,118.85083085623418,99.83469791923672,317.4505692170015,3.8735862792663847,2.094731631741425
45263,16764.292584830055,4947.0,Articulado (23m),P8,0.85,0.714,14.249648697105547,11.969704905568658,38.06081166996891,0.0003112123275447851,0.013310311854992348
45267,109629.17566466298,86193.0,Padron,P7,0.63,0.529,69.06638066873768,57.99383392660672,184.47630276619833,0.031896608659633695,3.813094580674392
45268,182174.85552150846,86179.0,Básico,P5,0.53,0.445,96.5526734263995,81.06781070707127,257.89219072191304,3.1454310554343654,1.7009648042557695
45272,133118.94997606255,74376.0,Biarticulado,P8,0.9,0.756,119.80705497845629,100.63792618190328,320.00464384745675,0.0026165860807294853,0.11190937391427644
45275,50300.58954864059,34617.0,Miniônibus,P8,0.35,0.294,17.605206342024207,14.788373327300334,47.023506139546654,0.0003844977065098087,0.01644467113995797
45276,161698.9485964426,51589.0,Padron,P8,0.63,0.529,101.87033761575886,85.53874380751814,272.0956717716919,0.0022240073389954715,0.09511908311396017
