hora_requisicao,codigo_linha,nome_linha,letreiro,codigo_onibus,x,y,hora_gps,geometry,ponto_final,hora_final,distancia_percorrida,segundos_deslocamento
14:02:00,33534,408A-10,CARDOSO DE ALMEIDA - MACHADO DE ASSIS,41124,-46.63313975,-23.55488975,2025-10-16 14:02:34-03:00,POINT (333309.81324929895 7394102.391420493),,,,
14:02:00,711,2002-10,TERM. BANDEIRA - TERM. PQ. D. PEDRO II,41126,-46.642435,-23.548659,2025-10-16 14:02:25-03:00,POINT (332352.9889888919 7394781.533661321),,,,
14:02:00,746,3414-10,TERM. PQ. D. PEDRO II - VL. DALILA,41129,-46.630341,-23.5461345,2025-10-16 14:02:40-03:00,POINT (333584.5009807622 7395075.184660424),,,,
14:02:00,715,2101-41,TERM. VL. PRUDENTE - PÇA. SILVIO ROMERO,41130,-46.5898585,-23.565399,2025-10-16 14:02:12-03:00,POINT (337741.11280723027 7392988.306083869),,,,
14:02:00,995,3139-10,PÇA. JOÃO MENDES - JD. VL. FORMOSA,41131,-46.531307,-23.5740675,2025-10-16 14:02:13-03:00,POINT (343728.05694265175 7392093.499746051),,,,
14:02:00,35356,4037-10,CIRCULAR - TERM. VL. CARRÃO,41132,-46.50931175000001,-23.568596625,2025-10-16 14:02:15-03:00,POINT (345966.6768506222 7392723.141749084),,,,
14:02:00,720,3032-10,CIRCULAR - TERM. VL. CARRÃO,41133,-46.4954635,-23.565028,2025-10-16 14:01:58-03:00,POINT (347376.0608396864 7393133.131787314),,,,
14:02:00,33479,2002-10,TERM. BANDEIRA - TERM. PQ. D. PEDRO II,41134,-46.63882,-23.552169125,2025-10-16 14:02:20-03:00,POINT (332726.49270188366 7394397.050920968),,,,
14:02:00,33763,3139-10,PÇA. JOÃO MENDES - JD. VL. FORMOSA,41137,-46.5782905,-23.5579455,2025-10-16 14:02:26-03:00,POINT (338912.8424033489 7393826.735256899),,,,
14:02:00,720,3032-10,CIRCULAR - TERM. VL. CARRÃO,41138,-46.522539,-23.558674,2025-10-16 14:02:23-03:00,POINT (344604.873394873 7393807.631579049),,,,
14:02:00,33534,408A-10,CARDOSO DE ALMEIDA - MACHADO DE ASSIS,41139,-46.6333885,-23.5681505,2025-10-16 14:02:39-03:00,POINT (333301.15805351303 7392633.627057345),,,,
14:02:00,711,2002-10,TERM. BANDEIRA - TERM. PQ. D. PEDRO II,41140,-46.638573375,-23.544589625,2025-10-16 14:02:18-03:00,POINT (332742.07750989374 7395236.681063471),,,,
14:02:00,746,3414-10,TERM. PQ. D. PEDRO II - VL. DALILA,41141,-46.522450875,-23.54258125,2025-10-16 14:02:07-03:00,POINT (344594.94494729635 7395589.746033023),,,,
14:02:00,33534,408A-10,CARDOSO DE ALMEIDA - MACHADO DE ASSIS,41142,-46.672401,-23.543693,2025-10-16 14:02:10-03:00,POINT (329287.2878136028 7395296.100149713),,,,
14:02:00,711,2002-10,TERM. BANDEIRA - TERM. PQ. D. PEDRO II,41144,-46.6295935,-23.547219,2025-10-16 14:02:29-03:00,POINT (333662.1803810033 7394955.956699748),,,,
14:02:00,33514,3414-10,TERM. PQ. D. PEDRO II - VL. DALILA,41145,-46.626432,-23.5535745,2025-10-16 14:02:19-03:00,POINT (333992.92891941697 7394255.825909607),,,,
14:02:00,720,3032-10,CIRCULAR - TERM. VL. CARRÃO,41146,-46.522539,-23.558674,2025-10-16 14:02:14-03:00,POINT (344604.873394873 7393807.631579049),,,,
